id,title,author,genre,ISBN
1,Pre-emptive stable architecture,China,Horror,172489053-0
2,Secured background matrices,Philippines,Drama,799755390-8
3,Balanced human-resource success,Russia,Crime|Thriller,864436839-7
4,Versatile executive middleware,China,Drama|Romance|War,284648338-8
5,Multi-tiered next generation complexity,Brazil,Drama,256702064-0
6,Robust zero administration capability,Estonia,Horror,149054817-3
7,Ergonomic web-enabled hub,Philippines,Action|Adventure|Romance|War,206324934-2
8,Distributed homogeneous function,Vietnam,Horror,736311728-4
9,Fundamental tertiary portal,China,Comedy|Documentary,028676658-2
10,Horizontal secondary orchestration,Indonesia,Documentary,315066765-8
11,Progressive homogeneous collaboration,France,Drama|Romance,885873158-1
12,Right-sized object-oriented hub,Netherlands,Horror,374906776-7
13,Intuitive asymmetric approach,Costa Rica,Adventure|Drama|Fantasy|Romance,968156633-5
14,Seamless regional hardware,Russia,Comedy|Drama|Romance|War,352160025-4
15,Digitized responsive capacity,Russia,Drama,603877678-8
16,Reverse-engineered 6th generation matrix,Serbia,Action|Adventure|Comedy,321073751-7
17,Down-sized demand-driven productivity,Russia,Action|Comedy,547894247-2
18,Team-oriented systematic process improvement,Poland,Crime|Documentary,855171397-3
19,User-centric methodical knowledge base,Japan,Drama|Thriller,873119154-1
20,Centralized stable budgetary management,Russia,Horror,126364072-9
21,Ameliorated human-resource orchestration,China,Crime|Drama|Fantasy|Thriller,329975677-X
22,Innovative tangible functionalities,France,Action|Animation|Children|Comedy|Fantasy,377656372-9
23,Profit-focused 4th generation local area network,China,Comedy|Crime,469978721-5
24,Advanced tangible access,Philippines,Drama,821671773-3
25,Balanced intangible ability,Nigeria,Drama,941244589-X
26,Managed local projection,United States,Crime|Drama|Western,224186788-8
27,Devolved responsive superstructure,Myanmar,Documentary,137047890-9
28,Stand-alone national alliance,Sweden,Drama,816496252-X
29,Optimized asynchronous algorithm,Ukraine,Comedy|Romance,082352347-0
30,Business-focused optimizing Graphic Interface,Thailand,Adventure|Drama|War,452879999-5
31,Centralized uniform local area network,Mali,Drama,766137001-8
32,Customizable clear-thinking paradigm,Afghanistan,Adventure|Animation|Children|Comedy,592358837-4
33,Mandatory encompassing frame,United States,Drama,256361546-1
34,Multi-layered zero tolerance middleware,China,Drama|Mystery|Romance|Thriller,318149078-4
35,Automated 6th generation analyzer,China,Documentary,852069698-8
36,Automated 5th generation Graphical User Interface,Dominican Republic,Action|Horror|Sci-Fi|Thriller,055563666-6
37,Universal background standardization,China,Drama,479572431-8
38,Right-sized multimedia monitoring,Portugal,Documentary,294920668-9
39,Sharable empowering definition,Togo,Animation|Romance,920546191-1
40,Assimilated actuating standardization,Philippines,Adventure|Animation|Drama,379917238-6
41,Devolved interactive matrix,Poland,Horror,500037218-2
42,Mandatory motivating conglomeration,Czech Republic,Children|Drama,668055996-0
43,Seamless radical knowledge user,Mongolia,Drama,069078384-1
44,Total hybrid complexity,China,Comedy,639903411-6
45,Organic even-keeled approach,Portugal,Drama|Thriller,889150760-1
46,De-engineered actuating leverage,Spain,Comedy,020266981-5
47,Cross-group regional Graphic Interface,Indonesia,Comedy,705041096-9
48,Fundamental bifurcated implementation,Indonesia,Drama|Horror|Mystery|Thriller,616136235-X
49,Business-focused multi-state info-mediaries,Indonesia,Drama|Romance,524801641-X
50,Future-proofed tertiary intranet,Ukraine,Comedy|Romance,357184329-0
51,Sharable heuristic internet solution,Russia,Documentary,124764517-7
52,Assimilated next generation protocol,Peru,Drama,160504674-4
53,Up-sized intangible parallelism,China,Documentary,691584195-4
54,Secured national model,Poland,Drama|Film-Noir|Mystery,993030536-X
55,Reduced foreground implementation,France,Drama|War,152046392-8
56,Quality-focused multi-state Graphical User Interface,Indonesia,Drama|Romance,123155275-1
57,Customizable background website,Indonesia,Comedy|Drama|Fantasy|Romance,327153569-8
58,Total motivating superstructure,Indonesia,Comedy|Drama|Musical,309927634-0
59,Function-based dynamic standardization,Philippines,Drama,052632016-8
60,Grass-roots needs-based software,Hungary,Comedy|Drama|Romance,547200533-7
61,Realigned fault-tolerant access,Yemen,Action|Adventure|Comedy|Fantasy,734193671-1
62,Multi-layered eco-centric attitude,Ethiopia,Comedy|Musical,532944388-1
63,Devolved zero administration time-frame,Brazil,Action|Comedy,943976661-1
64,Persistent holistic frame,Indonesia,Horror|Thriller,560725313-9
65,Streamlined empowering concept,China,Comedy,143424679-5
66,Adaptive actuating throughput,China,Romance,504273601-8
67,Self-enabling local projection,Indonesia,Comedy|Drama|Romance,829053735-2
68,Streamlined 24/7 capability,Russia,Horror|Mystery,211574013-0
69,Polarised dynamic ability,China,Documentary|War,314176475-1
70,Devolved 3rd generation adapter,Peru,Comedy|Horror,523416210-9
71,Expanded intangible Graphic Interface,Vietnam,Comedy|Romance,588475899-5
72,Profit-focused empowering benchmark,Pakistan,Comedy|Drama,458768584-4
73,Focused human-resource website,Philippines,Comedy|Drama|Romance,975234537-9
74,Face to face 6th generation capability,China,Comedy|Drama|Romance,155512127-6
75,Managed 6th generation artificial intelligence,Panama,Horror|Thriller,084652538-0
76,Profound disintermediate success,Mali,Drama,733758229-3
77,Monitored incremental interface,Brazil,Drama,570769880-9
78,Reduced uniform capability,Uzbekistan,Drama,722907554-8
79,Fully-configurable bandwidth-monitored superstructure,Syria,Drama|War,793049297-4
80,Reactive attitude-oriented adapter,Indonesia,Crime|Thriller,187213725-3
81,Object-based interactive artificial intelligence,China,Adventure|Drama|Romance,931193892-0
82,Streamlined uniform help-desk,Russia,Drama,115379037-8
83,Focused user-facing orchestration,Pakistan,Horror|Sci-Fi,329482353-3
84,Exclusive methodical function,France,Documentary,499445645-3
85,Automated multimedia infrastructure,Kyrgyzstan,Adventure|Drama|Horror,233696610-7
86,Triple-buffered bottom-line focus group,Spain,Drama|Horror|Thriller,228554809-5
87,Automated discrete migration,China,Comedy,958905282-7
88,Horizontal analyzing support,China,Action|Comedy|Drama|Romance,548505944-9
89,Enterprise-wide analyzing complexity,China,Crime|Drama|Thriller,301305697-5
90,Right-sized full-range time-frame,United States,Documentary,738654646-7
91,Implemented bandwidth-monitored functionalities,United States,Documentary,742576453-9
92,Down-sized bi-directional installation,Argentina,Adventure|Fantasy|Romance|Sci-Fi,218099286-6
93,Cloned transitional task-force,Poland,Documentary,699458408-9
94,Mandatory neutral matrices,Indonesia,Comedy,149476587-X
95,Monitored explicit array,United States,Drama,179177207-2
96,Balanced discrete moratorium,Papua New Guinea,Comedy|Romance,082455002-1
97,Front-line national concept,Mongolia,Drama,715305780-3
98,Innovative bottom-line database,Indonesia,Drama|War,894081478-9
99,Robust exuding productivity,China,Comedy|Romance,728937289-1
100,Customer-focused encompassing functionalities,China,Adventure|Horror|Sci-Fi|Thriller,097433084-1
101,Face to face upward-trending leverage,Indonesia,Adventure|Comedy|Horror,289472760-7
102,Progressive impactful knowledge user,China,Crime|Drama,135089449-4
103,Pre-emptive responsive moratorium,Luxembourg,Comedy|Drama,790581175-1
104,Open-architected real-time model,Zambia,Action|Drama,923851594-8
105,Universal 24/7 forecast,Russia,Western,808115535-X
106,Right-sized solution-oriented analyzer,Portugal,Drama|Horror|Mystery|Thriller,758875182-7
107,Profound dynamic knowledge user,Egypt,Comedy,592549797-X
108,Profit-focused national framework,Russia,Drama,964136792-7
